Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
B|A09|MF|0.0|
B|B07|DERMATOLOGIA|1.0|
B|B80|MF|0.0|
B|B86|MF|0.0|
B|B34.1|MF|0.0|
B|B34.2|MF|0.0|
B|B34.8|MF|0.0|
B|B34.9|MF|0.0|
B|B35.0|MF|0.0|
B|B35.1|MF|0.0|
B|B35.2|MF|0.0|
B|B35.3|MF|0.0|
B|B35.4|MF|0.0|
B|B35.6|MF|0.0|
B|B35.8|MF|0.0|
B|B35.9|MF|0.0|
B|B82.0|MF|0.0|
B|B82.9|MF|0.0|
B|D50.0|PEDIATRIA|1.0|
B|D50.8|MF|0.0|
B|D50.9|MF|0.0|
B|D64.8|HEMATOLOGIA CLINICA|1.0|
B|D64.9|MF|0.0|
B|E03.0|ENDOCRINOLOGIA|2.0|
B|E03.1|ENDOCRINOLOGIA|2.0|
B|E03.2|ENDOCRINOLOGIA|1.0|
B|E03.8|ENDOCRINOLOGIA|1.0|
B|E03.9|ENDOCRINOLOGIA|3.0|
B|E28.0|GINECOLOGIA Y OBSTETRICIA|2.0|
B|E28.1|ENDOCRINOLOGIA|1.0|
B|E28.2|GINECOLOGIA Y OBSTETRICIA|1.0|
B|E28.3|GINECOLOGIA Y OBSTETRICIA|1.0|
B|E28.8|GINECOLOGIA Y OBSTETRICIA|1.0|
B|E28.9|GINECOLOGIA Y OBSTETRICIA|1.0|
B|E30.0|ENDOCRINOLOGIA|2.0|
B|E30.1|ENDOCRINOLOGIA|1.0|
B|E30.8|ENDOCRINOLOGIA|1.0|
B|E30.9|ENDOCRINOLOGIA|3.0|
B|E34.3|ENDOCRINOLOGIA|2.0|
B|E34.4|MF|0.0|
B|E34.8|ENDOCRINOLOGIA|2.0|
B|E34.9|ENDOCRINOLOGIA|2.0|
B|E66.0|MF|0.0|
B|E66.3|MF|0.0|
B|E66.8|PEDIATRIA|1.0|
B|E66.9|MF|0.0|
B|E78.0|MF|0.0|
B|E78.1|MF|0.0|
B|E78.2|MF|0.0|
B|E78.3|ENDOCRINOLOGIA|1.0|
B|E78.4|MF|0.0|
B|E78.5|MF|0.0|
B|E78.8|MF|0.0|
B|E78.9|MF|0.0|
B|F41.0|PSIQUIATRIA|1.0|
B|F41.1|PSIQUIATRIA|1.0|
B|F41.2|PSIQUIATRIA|2.0|
