Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
C|A09|MG|0.0|
C|A15.0|NEUMOLOGIA|1.0|
C|A15.1|NEUMOLOGIA|1.0|
C|A15.2|NEUMOLOGIA|1.0|
C|A15.3|NEUMOLOGIA|1.0|
C|A15.4|NEUMOLOGIA|1.0|
C|A15.6|NEUMOLOGIA|1.0|
C|A15.8|NEUMOLOGIA|1.0|
C|A15.9|NEUMOLOGIA|1.0|
C|A63.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|A63.8|MF|0.0|
C|B07|DERMATOLOGIA|3.0|
C|B35.0|MF|0.0|
C|B35.1|MG|0.0|
C|B35.2|MF|0.0|
C|B35.3|MG|0.0|
C|B35.4|MF|0.0|
C|B35.6|MF|0.0|
C|B35.8|MF|0.0|
C|B35.9|MF|0.0|
C|D24|GINECOLOGIA Y OBSTETRICIA|2.0|
C|D27|GINECOLOGIA Y OBSTETRICIA|1.0|
C|D50.0|MF|0.0|
C|D50.8|MF|0.0|
C|D50.9|MF|0.0|
C|D64.8|MF|0.0|
C|D64.9|MF|0.0|
C|E03.1|ENDOCRINOLOGIA|2.0|
C|E03.2|ENDOCRINOLOGIA|2.0|
C|E03.4|ENDOCRINOLOGIA|1.0|
C|E03.8|MF|0.0|
C|E03.9|MF|0.0|
C|E05.0|ENDOCRINOLOGIA|1.0|
C|E05.2|ENDOCRINOLOGIA|1.0|
C|E05.8|ENDOCRINOLOGIA|1.0|
C|E05.9|ENDOCRINOLOGIA|1.0|
C|E11.2|ENDOCRINOLOGIA|1.0|
C|E11.7|ENDOCRINOLOGIA|2.0|
C|E11.8|ENDOCRINOLOGIA|1.0|
C|E11.9|MF|0.0|
C|E22.1|ENDOCRINOLOGIA|1.0|
C|E28.1|ENDOCRINOLOGIA|1.0|
C|E28.2|GINECOLOGIA Y OBSTETRICIA|2.0|
C|E28.3|GINECOLOGIA Y OBSTETRICIA|1.0|
C|E28.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|E28.9|GINECOLOGIA Y OBSTETRICIA|1.0|
C|E66.0|MF|0.0|
C|E66.2|ENDOCRINOLOGIA|1.0|
C|E66.3|MG|0.0|
C|E66.8|MG|0.0|
C|E66.9|MG|0.0|
C|E78.0|MF|0.0|
C|E78.1|MF|0.0|
C|E78.2|MF|0.0|
C|E78.4|MF|0.0|
C|E78.5|MF|0.0|
C|E78.8|MF|0.0|
