Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
D|A09|MG|0.0|
D|A15.0|MF|0.0|
D|A15.1|MF|0.0|
D|A15.2|MF|0.0|
D|A15.3|MF|0.0|
D|A15.4|NEUMOLOGIA|1.0|
D|A15.5|NEUMOLOGIA|1.0|
D|A15.6|NEUMOLOGIA|1.0|
D|A15.7|MF|0.0|
D|A15.8|MF|0.0|
D|A15.9|MF|0.0|
D|B35.0|MG|0.0|
D|B35.1|MG|0.0|
D|B35.2|MG|0.0|
D|B35.3|MG|0.0|
D|B35.4|MG|0.0|
D|B35.5|MF|0.0|
D|B35.6|MG|0.0|
D|B35.8|MG|0.0|
D|B35.9|MG|0.0|
D|D17.0|CIRUGIA GENERAL|1.0|
D|D17.1|CIRUGIA GENERAL|1.0|
D|D17.2|CIRUGIA GENERAL|1.0|
D|D17.3|CIRUGIA GENERAL|1.0|
D|D17.5|CIRUGIA GENERAL|1.0|
D|D17.6|UROLOGIA GENERAL|1.0|
D|D17.7|CIRUGIA GENERAL|1.0|
D|D17.9|CIRUGIA GENERAL|1.0|
D|D25.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|D25.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|D25.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|D25.9|GINECOLOGIA Y OBSTETRICIA|1.0|
D|D50.0|MG|0.0|
D|D50.1|GASTROENTEROLOGIA|1.0|
D|D50.8|MG|0.0|
D|D50.9|MG|0.0|
D|D64.0|HEMATOLOGIA CLINICA|1.0|
D|D64.3|HEMATOLOGIA CLINICA|1.0|
D|D64.8|MG|0.0|
D|D64.9|MG|0.0|
D|E03.0|ENDOCRINOLOGIA|1.0|
D|E03.1|ENDOCRINOLOGIA|1.0|
D|E03.2|ENDOCRINOLOGIA|2.0|
D|E03.3|ENDOCRINOLOGIA|2.0|
D|E03.4|ENDOCRINOLOGIA|1.0|
D|E03.8|MF|0.0|
D|E03.9|MF|0.0|
D|E11.0|MEDICINA INTERNA|1.0|
D|E11.1|MEDICINA INTERNA|1.0|
D|E11.2|NEFROLOGIA|2.0|
D|E11.3|OFTALMOLOGIA|1.0|
D|E11.4|NEUROLOGIA|2.0|
D|E11.5|CIRUGIA VASCULAR|2.0|
D|E11.6|ENDOCRINOLOGIA|1.0|
D|E11.7|ENDOCRINOLOGIA|1.0|
D|E11.8|ENDOCRINOLOGIA|1.0|
D|E11.9|MF|0.0|
D|E66.0|MF|0.0|
D|E66.1|MEDICINA INTERNA|1.0|
D|E66.2|ENDOCRINOLOGIA|1.0|
D|E66.3|MF|0.0|
D|E66.8|MF|0.0|
D|E66.9|MF|0.0|
D|E78.0|MF|0.0|
D|E78.1|MF|0.0|
D|E78.2|MF|0.0|
D|E78.3|MF|0.0|
D|E78.4|MF|0.0|
D|E78.5|MF|0.0|
D|E78.6|ENDOCRINOLOGIA|5.0|
D|E78.8|MF|0.0|
D|E78.9|MF|0.0|
D|E88.0|ENDOCRINOLOGIA|5.0|
D|E88.1|MG|0.0|
D|E88.2|CIRUGIA GENERAL|5.0|
D|E88.8|MF|0.0|
D|E88.9|MF|0.0|
D|F20.0|PSIQUIATRIA|1.0|
D|F20.1|PSIQUIATRIA|1.0|
D|F20.3|PSIQUIATRIA|1.0|
D|F20.4|PSIQUIATRIA|1.0|
D|F20.5|PSIQUIATRIA|1.0|
D|F20.6|PSIQUIATRIA|1.0|
D|F20.8|PSIQUIATRIA|1.0|
D|F20.9|PSIQUIATRIA|1.0|
D|F41.0|PSIQUIATRIA|2.0|
D|F41.1|PSIQUIATRIA|1.0|
D|F41.2|PSIQUIATRIA|2.0|
D|F41.3|PSIQUIATRIA|2.0|
D|F41.8|PSIQUIATRIA|1.0|
D|F41.9|MF|0.0|
D|G40.0|NEUROLOGIA|1.0|
D|G40.1|NEUROLOGIA|1.0|
D|G40.2|NEUROLOGIA|1.0|
D|G40.3|NEUROLOGIA|1.0|
D|G40.4|NEUROLOGIA|1.0|
D|G40.5|NEUROLOGIA|1.0|
D|G40.7|NEUROLOGIA|1.0|
D|G40.8|NEUROLOGIA|1.0|
D|G40.9|NEUROLOGIA|2.0|
D|G43.0|MF|0.0|
D|G43.1|MF|0.0|
D|G43.2|MF|0.0|
D|G43.3|NEUROLOGIA|2.0|
D|G43.8|MG|0.0|
D|G43.9|MF|0.0|
D|G44.0|NEUROLOGIA|2.0|
D|G44.1|NEUROLOGIA|1.0|
D|G44.2|MF|0.0|
D|G44.3|NEUROLOGIA|1.0|
D|G44.4|NEUROLOGIA|2.0|
D|G44.8|MF|0.0|
D|G56.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|G56.1|NEUROLOGIA|1.0|
