Grupo Etario|CIE-10|_resultado|_k
E|A09|MG|0.0
E|B35.0|MF|0.0
E|B35.1|MF|0.0
E|B35.2|MG|0.0
E|B35.3|MG|0.0
E|B35.4|MG|0.0
E|B35.5|MF|0.0
E|B35.6|MG|0.0
E|B35.8|MF|0.0
E|B35.9|MF|0.0
E|E03.0|ENDOCRINOLOGIA|1.0
E|E03.1|ENDOCRINOLOGIA|1.0
E|E03.2|MF|0.0
E|E03.4|ENDOCRINOLOGIA|1.0
E|E03.5|ENDOCRINOLOGIA|1.0
E|E03.8|MF|0.0
E|E03.9|MF|0.0
E|E10.2|ENDOCRINOLOGIA|1.0
E|E10.3|OFTALMOLOGIA|1.0
E|E10.4|NEUROLOGIA|1.0
E|E10.5|ENDOCRINOLOGIA|1.0
E|E10.6|ENDOCRINOLOGIA|1.0
E|E10.7|ENDOCRINOLOGIA|1.0
E|E10.8|ENDOCRINOLOGIA|1.0
E|E10.9|ENDOCRINOLOGIA|1.0
E|E11.2|CIRUGIA GENERAL|1.0
E|E11.3|OFTALMOLOGIA|1.0
E|E11.4|NEUROLOGIA|2.0
E|E11.5|GERIATRIA|1.0
E|E11.6|ENDOCRINOLOGIA|2.0
E|E11.7|ENDOCRINOLOGIA|2.0
E|E11.8|ENDOCRINOLOGIA|2.0
E|E11.9|MG|0.0
E|E66.0|MF|0.0
E|E66.2|ENDOCRINOLOGIA|1.0
E|E66.3|MG|0.0
E|E66.8|MF|0.0
E|E66.9|MF|0.0
E|E78.0|MF|0.0
E|E78.1|MF|0.0
E|E78.2|MF|0.0
E|E78.4|MF|0.0
E|E78.5|MF|0.0
E|E78.8|MF|0.0
E|E78.9|MF|0.0
E|F06.0|PSIQUIATRIA|1.0
E|F06.1|PSIQUIATRIA|1.0
E|F06.2|PSIQUIATRIA|1.0
E|F06.3|PSIQUIATRIA|2.0
E|F06.4|PSIQUIATRIA|1.0
E|F06.5|PSIQUIATRIA|1.0
E|F06.6|PSIQUIATRIA|1.0
E|F06.7|MF|0.0
E|F06.8|PSIQUIATRIA|1.0
E|F06.9|PSIQUIATRIA|1.0
E|F41.0|PSIQUIATRIA|1.0
E|F41.1|PSIQUIATRIA|1.0
E|F41.2|MF|0.0
E|F41.3|PSIQUIATRIA|1.0
E|F41.8|MF|0.0
E|F41.9|MF|0.0
E|G20|NEUROLOGIA|1.0
E|G25.0|MF|0.0
E|G25.1|NEUROLOGIA|2.0
E|G25.2|NEUROLOGIA|1.0
E|G25.3|NEUROLOGIA|1.0
E|G25.5|NEUROLOGIA|1.0
E|G25.6|NEUROLOGIA|1.0
E|G25.8|NEUROLOGIA|1.0
E|G25.9|NEUROLOGIA|1.0
E|G44.0|NEUROLOGIA|1.0
E|G44.1|NEUROLOGIA|2.0
E|G44.2|MF|0.0
E|G44.3|NEUROLOGIA|2.0
E|G44.4|NEUROLOGIA|1.0
E|G44.8|NEUROLOGIA|2.0
E|G56.0|MEDICINA FISICA Y REHABILITACION|3.0
E|G56.1|NEUROLOGIA|1.0
E|G56.2|NEUROLOGIA|1.0
E|G56.3|NEUROLOGIA|1.0
E|G56.4|NEUROLOGIA|1.0
E|G56.8|NEUROLOGIA|1.0
E|G56.9|NEUROLOGIA|1.0
E|H04.0|OFTALMOLOGIA|1.0
E|H04.1|MG|0.0
E|H04.2|OFTALMOLOGIA|2.0
E|H04.3|MF|0.0
E|H04.4|OFTALMOLOGIA|2.0
E|H04.5|OFTALMOLOGIA|2.0
E|H04.6|MG|0.0
E|H04.8|MF|0.0
E|H04.9|MG|0.0
E|H10.0|MF|0.0
E|H10.1|MF|0.0
E|H10.2|MG|0.0
E|H10.3|MG|0.0
E|H10.4|OFTALMOLOGIA|2.0
E|H10.5|MF|0.0
E|H10.8|MF|0.0
E|H10.9|MG|0.0
E|H11.0|OFTALMOLOGIA|2.0
E|H11.1|OFTALMOLOGIA|1.0
E|H11.2|OFTALMOLOGIA|1.0
E|H11.3|MF|0.0
E|H11.4|OFTALMOLOGIA|1.0
E|H11.8|OFTALMOLOGIA|2.0
E|H11.9|OFTALMOLOGIA|2.0
E|H25.0|OFTALMOLOGIA|1.0
E|H25.1|OFTALMOLOGIA|1.0
E|H25.2|OFTALMOLOGIA|1.0
E|H25.8|OFTALMOLOGIA|1.0
E|H25.9|OFTALMOLOGIA|1.0
E|H26.0|OFTALMOLOGIA|1.0
E|H26.1|OFTALMOLOGIA|1.0
E|H26.2|OFTALMOLOGIA|1.0
E|H26.3|OFTALMOLOGIA|1.0
E|H26.4|OFTALMOLOGIA|1.0
E|H26.8|OFTALMOLOGIA|1.0
E|H26.9|OFTALMOLOGIA|1.0
E|H35.0|OFTALMOLOGIA|1.0
E|H35.2|OFTALMOLOGIA|1.0
E|H35.3|OFTALMOLOGIA|1.0
E|H35.4|OFTALMOLOGIA|1.0
E|H35.5|OFTALMOLOGIA|1.0
E|H35.6|OFTALMOLOGIA|1.0
E|H35.7|OFTALMOLOGIA|1.0
E|H35.8|OFTALMOLOGIA|1.0
E|H35.9|OFTALMOLOGIA|1.0
E|H40.0|OFTALMOLOGIA|1.0
E|H40.1|OFTALMOLOGIA|1.0
E|H40.2|OFTALMOLOGIA|1.0
E|H40.3|OFTALMOLOGIA|1.0
E|H40.4|OFTALMOLOGIA|1.0
E|H40.5|OFTALMOLOGIA|1.0
E|H40.6|OFTALMOLOGIA|1.0
E|H40.8|OFTALMOLOGIA|2.0
E|H40.9|OFTALMOLOGIA|1.0
E|H52.0|OFTALMOLOGIA|1.0
E|H52.1|OFTALMOLOGIA|1.0
E|H52.2|OFTALMOLOGIA|1.0
E|H52.3|OFTALMOLOGIA|1.0
E|H52.4|OFTALMOLOGIA|1.0
E|H52.5|OFTALMOLOGIA|1.0
E|H52.6|OFTALMOLOGIA|1.0
E|H52.7|OFTALMOLOGIA|1.0
E|H61.0|OTORRINOLARINGOLOGIA|1.0
E|H61.2|MF|0.0
E|H61.8|MF|0.0
E|H61.9|MF|0.0
E|H81.0|OTORRINOLARINGOLOGIA|2.0
E|H81.1|MF|0.0
E|H81.2|OTORRINOLARINGOLOGIA|1.0
E|H81.3|MF|0.0
E|H81.4|NEUROLOGIA|1.0
E|H81.8|OTORRINOLARINGOLOGIA|2.0
E|H81.9|OTORRINOLARINGOLOGIA|2.0
E|H90.0|OTORRINOLARINGOLOGIA|1.0
E|H90.1|OTORRINOLARINGOLOGIA|1.0
E|H90.2|OTORRINOLARINGOLOGIA|1.0
E|H90.3|OTORRINOLARINGOLOGIA|1.0
E|H90.4|OTORRINOLARINGOLOGIA|1.0
E|H90.5|OTORRINOLARINGOLOGIA|1.0
E|H90.6|OTORRINOLARINGOLOGIA|1.0
E|H90.7|OTORRINOLARINGOLOGIA|1.0
E|H90.8|OTORRINOLARINGOLOGIA|1.0
E|H91.0|OTORRINOLARINGOLOGIA|1.0
E|H91.1|OTORRINOLARINGOLOGIA|2.0
E|H91.2|OTORRINOLARINGOLOGIA|1.0
E|H91.3|OTORRINOLARINGOLOGIA|1.0
E|H91.8|OTORRINOLARINGOLOGIA|1.0
E|H91.9|OTORRINOLARINGOLOGIA|2.0
E|H93.0|OTORRINOLARINGOLOGIA|1.0
E|H93.1|MF|0.0
E|H93.2|OTORRINOLARINGOLOGIA|1.0
E|H93.3|OTORRINOLARINGOLOGIA|1.0
E|H93.8|MF|0.0
E|H93.9|MF|0.0
E|I10|MG|0.0
E|I48|CARDIOLOGIA|1.0
